evidence_id,instance_id,content_id,original_path,relative_path,parent_instance_id,parent_content_id,parent_screenshot_path,source_bbox,proposal_source,template_name,candidate_visual_family,candidate_visual_attribute,label_status,close_x_negative_type,evidence_role,label_confidence,legacy_sample_role,legacy_sub_role,legacy_screen_state,asset_role,image_scope,representation,notes
evi_000011,file_38f39cb8171bbccd,asset_f05a7a52f60d291b,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_045316_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_045316_roi_0.png,,,,,,,close_x,,positive,,template reference,0.95,action_target,,uncertain,template,crop,raw,DB reviewed close-X-looking raw crop/template
evi_000012,file_01fce48c5f827243,asset_ee02f730b82612e5,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_045709_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_045709_roi_0.png,,,,,,,close_x,,positive,,template reference,0.95,action_target,,uncertain,template,crop,raw,DB reviewed close-X-looking raw crop/template
evi_000013,file_53f6b240d7847ed6,asset_ca994ca16a3dcd00,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_052002_roi_15.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_052002_roi_15.png,,,,,,,close_x,,positive,,template reference,0.95,action_target,,uncertain,template,crop,raw,DB reviewed close-X-looking raw crop/template
evi_000014,file_a4f0c7925d120a09,asset_2a7b5573529608a3,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_052302_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_052302_roi_0.png,,,,,,,close_x,,positive,,template reference,0.95,action_target,,uncertain,template,crop,raw,DB reviewed close-X-looking raw crop/template
evi_000015,file_8adc86c006864b12,asset_8829832efa233731,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_081550_roi_9.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_081550_roi_9.png,,,,,,,close_x,,positive,,template reference,0.95,action_target,,uncertain,template,crop,raw,DB reviewed close-X-looking raw crop/template
evi_000016,file_541955e3cd16d297,asset_bf08eee05826fbbb,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_082946_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_082946_roi_0.png,,,,,,,close_x,,positive,,template reference,0.95,action_target,,uncertain,template,crop,raw,DB reviewed close-X-looking raw crop/template
evi_000017,file_f897e9b9181629ee,asset_d67b35832487e707,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_083435_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_083435_roi_0.png,,,,,,,close_x,,positive,,template reference,0.95,action_target,,uncertain,template,crop,raw,DB reviewed close-X-looking raw crop/template
evi_000018,file_183d636c777c6ea5,asset_0038b293d3fef86c,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_084107_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_084107_roi_0.png,,,,,,,close_x,,positive,,template reference,0.95,action_target,,uncertain,template,crop,raw,DB reviewed close-X-looking raw crop/template
evi_000019,file_50c793b7bc956a13,asset_c67d1ef1a4afa50d,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_1.png,ads2\assets\1_templates\close_icons\close_1.png,,,,,,,close_x,,positive,,template reference,0.95,action_target,,uncertain,template,crop,raw,DB reviewed close-X-looking raw crop/template
evi_000020,file_13eecab8cd7c9374,asset_5b3fbaac886e6b1c,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_10.png,ads2\assets\1_templates\close_icons\close_10.png,,,,,,,close_x,,positive,,template reference,0.95,action_target,,uncertain,template,crop,raw,DB reviewed close-X-looking raw crop/template
evi_000021,file_910f6d13ad48178b,asset_814457f65714bfe8,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_11.png,ads2\assets\1_templates\close_icons\close_11.png,,,,,,,close_x,,positive,,template reference,0.95,action_target,,uncertain,template,crop,raw,DB reviewed close-X-looking raw crop/template
evi_000022,file_88b1cc8a3de93123,asset_44aa502360ac075b,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_12.png,ads2\assets\1_templates\close_icons\close_12.png,,,,,,,close_x,,positive,,template reference,0.95,action_target,,uncertain,template,crop,raw,DB reviewed close-X-looking raw crop/template
evi_000023,file_a5a5bd5ba2f1d724,asset_781a510f3a857316,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_13.png,ads2\assets\1_templates\close_icons\close_13.png,,,,,,,close_x,,positive,,template reference,0.95,action_target,,uncertain,template,crop,raw,DB reviewed close-X-looking raw crop/template
evi_000024,file_e01dd7c029653e86,asset_7513f11f0e141a8c,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_14.png,ads2\assets\1_templates\close_icons\close_14.png,,,,,,,close_x,,positive,,template reference,0.95,action_target,,uncertain,template,crop,raw,DB reviewed close-X-looking raw crop/template
evi_000025,file_4bf9c732ffcf4bd7,asset_b7e64faadd9ca7c4,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_15.png,ads2\assets\1_templates\close_icons\close_15.png,,,,,,,close_x,,positive,,template reference,0.95,action_target,,uncertain,template,crop,raw,DB reviewed close-X-looking raw crop/template
evi_000026,file_f1c7f92038128586,asset_5d7e57a62103e2c1,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_16.png,ads2\assets\1_templates\close_icons\close_16.png,,,,,,,close_x,,positive,,template reference,0.95,action_target,,uncertain,template,crop,raw,DB reviewed close-X-looking raw crop/template
evi_000027,file_c6293287feb9bff3,asset_9fdb4db2e3fe6848,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_17.png,ads2\assets\1_templates\close_icons\close_17.png,,,,,,,close_x,,positive,,template reference,0.95,action_target,,uncertain,template,crop,raw,DB reviewed close-X-looking raw crop/template
evi_000028,file_54f5287c84fc7e1d,asset_db80ab2f7ad7e606,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_18.png,ads2\assets\1_templates\close_icons\close_18.png,,,,,,,close_x,,positive,,template reference,0.95,action_target,,uncertain,template,crop,raw,DB reviewed close-X-looking raw crop/template
evi_000029,file_a195dd7ba6135547,asset_e3aa0c73c537c671,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_19.png,ads2\assets\1_templates\close_icons\close_19.png,,,,,,,close_x,,positive,,template reference,0.95,action_target,,uncertain,template,crop,raw,DB reviewed close-X-looking raw crop/template
evi_000030,file_e16e35dc922172f8,asset_565f2f8c61c441ed,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_2.png,ads2\assets\1_templates\close_icons\close_2.png,,,,,,,close_x,,positive,,template reference,0.95,action_target,,uncertain,template,crop,raw,DB reviewed close-X-looking raw crop/template
evi_000031,file_2200224e47c6acf2,asset_fe436527d7d5643c,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_20.png,ads2\assets\1_templates\close_icons\close_20.png,,,,,,,close_x,,positive,,template reference,0.95,action_target,,uncertain,template,crop,raw,DB reviewed close-X-looking raw crop/template
evi_000032,file_857e5225a2b06af8,asset_927b02d71a0d5e87,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_21.png,ads2\assets\1_templates\close_icons\close_21.png,,,,,,,close_x,,positive,,template reference,0.95,action_target,,uncertain,template,crop,raw,DB reviewed close-X-looking raw crop/template
evi_000033,file_d109bb027585db3a,asset_384d89598f4f57fc,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_22.png,ads2\assets\1_templates\close_icons\close_22.png,,,,,,,close_x,,positive,,template reference,0.95,action_target,,uncertain,template,crop,raw,DB reviewed close-X-looking raw crop/template
evi_000034,file_abf6a9593a794d4f,asset_0f7f87e6da29ae62,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_23.png,ads2\assets\1_templates\close_icons\close_23.png,,,,,,,close_x,,positive,,template reference,0.95,action_target,,uncertain,template,crop,raw,DB reviewed close-X-looking raw crop/template
evi_000035,file_4a39bc8220b54bcf,asset_0adb2ecfead6543b,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_24.png,ads2\assets\1_templates\close_icons\close_24.png,,,,,,,close_x,,positive,,template reference,0.95,action_target,,uncertain,template,crop,raw,DB reviewed close-X-looking raw crop/template
evi_000036,file_acc7870ed969732e,asset_d9b4a93cc253ae66,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_25.png,ads2\assets\1_templates\close_icons\close_25.png,,,,,,,close_x,,positive,,template reference,0.95,action_target,,uncertain,template,crop,raw,DB reviewed close-X-looking raw crop/template
evi_000037,file_2aafaa2342e7ff6d,asset_649d289a08c9fe33,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_3.png,ads2\assets\1_templates\close_icons\close_3.png,,,,,,,close_x,,positive,,template reference,0.95,action_target,,uncertain,template,crop,raw,DB reviewed close-X-looking raw crop/template
evi_000038,file_d4c87444e5015593,asset_00f02ef77adb18c4,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_4.png,ads2\assets\1_templates\close_icons\close_4.png,,,,,,,close_x,,positive,,template reference,0.95,action_target,,uncertain,template,crop,raw,DB reviewed close-X-looking raw crop/template
evi_000039,file_cd80a32dc3ce69d3,asset_59b134576fd486a2,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_5.png,ads2\assets\1_templates\close_icons\close_5.png,,,,,,,close_x,,positive,,template reference,0.95,action_target,,uncertain,template,crop,raw,DB reviewed close-X-looking raw crop/template
evi_000040,file_144f33590c886b45,asset_acdbf97adac6c560,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_6.png,ads2\assets\1_templates\close_icons\close_6.png,,,,,,,close_x,,positive,,template reference,0.95,action_target,,uncertain,template,crop,raw,DB reviewed close-X-looking raw crop/template
evi_000041,file_53c205606c848750,asset_38da3057c3705cb4,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_7.png,ads2\assets\1_templates\close_icons\close_7.png,,,,,,,close_x,,positive,,template reference,0.95,action_target,,uncertain,template,crop,raw,DB reviewed close-X-looking raw crop/template
evi_000042,file_af0af020e1d87e2e,asset_071ca7bff74e053c,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_8.png,ads2\assets\1_templates\close_icons\close_8.png,,,,,,,close_x,,positive,,template reference,0.95,action_target,,uncertain,template,crop,raw,DB reviewed close-X-looking raw crop/template
evi_000043,file_55b41688a921e7a4,asset_f54277695108c8b6,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_9.png,ads2\assets\1_templates\close_icons\close_9.png,,,,,,,close_x,,positive,,template reference,0.95,action_target,,uncertain,template,crop,raw,DB reviewed close-X-looking raw crop/template
evi_000044,file_c88fffda1bde6376,asset_fc192034daaaf1b7,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_back_gp.png,ads2\assets\1_templates\close_icons\close_back_gp.png,,,,,,,,google_play_style,positive,family_unknown,heuristic,0.45,action_target,,uncertain,template,crop,raw,Visual attribute only; not formal family label
evi_000045,file_bde160b4ff62fd23,asset_14abfab802adf40c,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_skip_gp.png,ads2\assets\1_templates\close_icons\close_skip_gp.png,,,,,,,,google_play_style,positive,family_unknown,heuristic,0.45,action_target,,uncertain,template,crop,raw,Visual attribute only; not formal family label
evi_000046,file_e43f95fcbeed911e,asset_bc5f8a22689dda23,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_skip_gp2.png,ads2\assets\1_templates\close_icons\close_skip_gp2.png,,,,,,,,google_play_style,positive,family_unknown,heuristic,0.45,action_target,,uncertain,template,crop,raw,Visual attribute only; not formal family label
evi_000047,file_85f3c0bdc5e04e1d,asset_5d48c64cdd081609,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_skip_gp3.png,ads2\assets\1_templates\close_icons\close_skip_gp3.png,,,,,,,,google_play_style,positive,family_unknown,heuristic,0.45,action_target,,uncertain,template,crop,raw,Visual attribute only; not formal family label
evi_000048,file_1cb77f3034b09b56,asset_ef6efb79aed47f4a,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_skip_next.png,ads2\assets\1_templates\close_icons\close_skip_next.png,,,,,,,,continue_next_style|skip_arrow_or_double_chevron,positive,family_unknown,heuristic,0.45,action_target,,uncertain,template,crop,raw,Visual attribute only; not formal family label
evi_000049,file_8aa403fa0a5d2da9,asset_6e9c3a68167cfe89,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_skip_next2.png,ads2\assets\1_templates\close_icons\close_skip_next2.png,,,,,,,,continue_next_style|skip_arrow_or_double_chevron,positive,family_unknown,heuristic,0.45,action_target,,uncertain,template,crop,raw,Visual attribute only; not formal family label
evi_000050,file_7a30ab4de7eb758c,asset_b2c26a493402602b,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_x_end.png,ads2\assets\1_templates\close_icons\close_x_end.png,,,,,,,close_x,,positive,,template reference,0.95,action_target,,uncertain,template,crop,raw,DB reviewed close-X-looking raw crop/template
evi_000051,file_7b6a90286e8fac3a,asset_f23d35799ad854e5,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_x_end2.png,ads2\assets\1_templates\close_icons\close_x_end2.png,,,,,,,close_x,,positive,,template reference,0.95,action_target,,uncertain,template,crop,raw,DB reviewed close-X-looking raw crop/template
evi_000052,file_91bbfc8a9546e898,asset_702ce9c110ac8383,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_x_gp.png,ads2\assets\1_templates\close_icons\close_x_gp.png,,,,,,,close_x,google_play_style,positive,,template reference,0.95,action_target,,uncertain,template,crop,raw,DB reviewed close-X-looking raw crop/template
evi_000053,file_3dbd94023a2aefb9,asset_ae17f2d94d0c0ab9,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_x_gp2.png,ads2\assets\1_templates\close_icons\close_x_gp2.png,,,,,,,close_x,google_play_style,positive,,template reference,0.95,action_target,,uncertain,template,crop,raw,DB reviewed close-X-looking raw crop/template
evi_000054,file_0da1190477d9a899,asset_720686941c854cbf,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_x_left.png,ads2\assets\1_templates\close_icons\close_x_left.png,,,,,,,close_x,,positive,,template reference,0.95,action_target,,uncertain,template,crop,raw,DB reviewed close-X-looking raw crop/template
evi_000055,file_d69076ccf60a2327,asset_172ddc86ac086eee,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_x_momo.png,ads2\assets\1_templates\close_icons\close_x_momo.png,,,,,,,close_x,,positive,,template reference,0.95,action_target,,uncertain,template,crop,raw,DB reviewed close-X-looking raw crop/template
evi_000056,file_c590ebbfe9db64ca,asset_6802a78b1f5efa66,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_x_valor.png,ads2\assets\1_templates\close_icons\close_x_valor.png,,,,,,,close_x,,positive,,template reference,0.95,action_target,,uncertain,template,crop,raw,DB reviewed close-X-looking raw crop/template
evi_000057,file_ac306bdc17a9bfa0,asset_2af1b7045f897a9e,D:\Projects\adb_vl\ads2\assets\1_templates\free_ad_icons\close_26.png,ads2\assets\1_templates\free_ad_icons\close_26.png,,,,,,,,reward_or_play_style,positive,family_unknown,heuristic,0.45,action_target,free,uncertain,template,crop,raw,Visual attribute only; not formal family label
evi_000058,file_b4be82e5125f9663,asset_48f6dabf3e612bc9,D:\Projects\adb_vl\ads2\assets\1_templates\free_ad_icons\free_ad_1.png,ads2\assets\1_templates\free_ad_icons\free_ad_1.png,,,,,,,,reward_or_play_style,positive,family_unknown,heuristic,0.45,action_target,play,uncertain,template,crop,raw,Visual attribute only; not formal family label
evi_000059,file_5e0324fe7516c5f3,asset_52da1398bb93a963,D:\Projects\adb_vl\ads2\assets\1_templates\free_ad_icons\free_ad_2.png,ads2\assets\1_templates\free_ad_icons\free_ad_2.png,,,,,,,,reward_or_play_style,positive,family_unknown,heuristic,0.45,action_target,free,uncertain,template,crop,raw,Visual attribute only; not formal family label
evi_000060,file_761ee5c898e32ec0,asset_60d2812156135339,D:\Projects\adb_vl\ads2\assets\1_templates\free_ad_icons\free_ad_3.png,ads2\assets\1_templates\free_ad_icons\free_ad_3.png,,,,,,,,reward_or_play_style,positive,family_unknown,heuristic,0.45,action_target,免費,uncertain,template,crop,raw,Visual attribute only; not formal family label
evi_000061,file_1bc799289cb34fdb,asset_5c6d076a9a21278e,D:\Projects\adb_vl\ads2\assets\1_templates\free_ad_icons\free_ad_9.png,ads2\assets\1_templates\free_ad_icons\free_ad_9.png,,,,,,,,reward_or_play_style,positive,family_unknown,heuristic,0.45,action_target,play,uncertain,template,crop,raw,Visual attribute only; not formal family label
evi_000062,file_ed1467fb03b0b8ba,asset_d8a2f9660c5625b5,D:\Projects\adb_vl\ads2\assets\1_templates\free_ad_icons\播放.png,ads2\assets\1_templates\free_ad_icons\播放.png,,,,,,,,reward_or_play_style,positive,family_unknown,heuristic,0.45,action_target,play,uncertain,template,crop,raw,Visual attribute only; not formal family label
evi_000063,file_ec6a1f4e95a8737e,asset_58ed244c7878bcd7,D:\Projects\adb_vl\ads2\assets\1_templates\got_icons\got2.png,ads2\assets\1_templates\got_icons\got2.png,,,,,,,,reward_or_play_style,positive,family_unknown,heuristic,0.45,action_target,got,uncertain,template,crop,raw,Visual attribute only; not formal family label
evi_000064,file_b45e660a5a2b7d8d,asset_0d4b215867996981,D:\Projects\adb_vl\ads2\assets\1_templates\got_icons\got_1.png,ads2\assets\1_templates\got_icons\got_1.png,,,,,,,,reward_or_play_style,positive,family_unknown,heuristic,0.45,action_target,got,uncertain,template,crop,raw,Visual attribute only; not formal family label
evi_000065,file_6f7c7aba74ab1f28,asset_0cf037e096857467,D:\Projects\adb_vl\ads2\assets\1_templates\got_icons\got_3.png,ads2\assets\1_templates\got_icons\got_3.png,,,,,,,,reward_or_play_style,positive,family_unknown,heuristic,0.45,action_target,got,uncertain,template,crop,raw,Visual attribute only; not formal family label
evi_000066,file_f1f313c24a4c1de2,asset_804eb0458e78934d,D:\Projects\adb_vl\ads2\assets\1_templates\got_icons\got_4.png,ads2\assets\1_templates\got_icons\got_4.png,,,,,,,,reward_or_play_style,positive,family_unknown,heuristic,0.45,action_target,got,uncertain,template,crop,raw,Visual attribute only; not formal family label
evi_000067,file_3c94de29e8445680,asset_a1abf4a4f6070cea,D:\Projects\adb_vl\ads2\assets\1_templates\got_icons\got_5.png,ads2\assets\1_templates\got_icons\got_5.png,,,,,,,,reward_or_play_style,positive,family_unknown,heuristic,0.45,action_target,got,uncertain,template,crop,raw,Visual attribute only; not formal family label
evi_000068,file_18fbfa6f2629be44,asset_365caeff8fffb5c6,D:\Projects\adb_vl\ads2\assets\1_templates\got_icons\got_7.png,ads2\assets\1_templates\got_icons\got_7.png,,,,,,,,reward_or_play_style,positive,family_unknown,heuristic,0.45,action_target,確定,uncertain,template,crop,raw,Visual attribute only; not formal family label
evi_000069,file_b0bca87bf3793c53,asset_b899a1551a4caae2,D:\Projects\adb_vl\ads2\assets\1_templates\scene_anchors\scene_2.png,ads2\assets\1_templates\scene_anchors\scene_2.png,,,,,,,,,negative,general_non_action_crop,human,0.70,non_action_target,時間沙漏,uncertain,template,crop,raw,General non-action crop; not auto close-X negative
evi_000070,file_9d452ad7cfee6cc4,asset_32ca1dbfa59909e8,D:\Projects\adb_vl\ads2\assets\1_templates\scene_anchors\scene_3.png,ads2\assets\1_templates\scene_anchors\scene_3.png,,,,,,,,,negative,general_non_action_crop,human,0.70,non_action_target,探寶鏟,uncertain,template,crop,raw,General non-action crop; not auto close-X negative
evi_000071,file_c51f6d25bf440109,asset_00431f24c5580203,D:\Projects\adb_vl\ads2\assets\1_templates\scene_anchors\王國金庫.png,ads2\assets\1_templates\scene_anchors\王國金庫.png,,,,,,,,,negative,general_non_action_crop,human,0.70,non_action_target,王國金庫,uncertain,template,crop,raw,General non-action crop; not auto close-X negative
evi_000072,file_00db74143475636c,asset_085f1c813551e8c9,D:\Projects\adb_vl\ads2\assets\1_templates\備份\btn_free_ad.png,ads2\assets\1_templates\備份\btn_free_ad.png,,,,,,,,reward_or_play_style,positive,family_unknown,heuristic,0.45,action_target,play,uncertain,template,crop,raw,Visual attribute only; not formal family label
evi_000073,file_804b831df127544b,asset_48f6dabf3e612bc9,D:\Projects\adb_vl\ads2\assets\1_templates\備份\free_ad_1.png,ads2\assets\1_templates\備份\free_ad_1.png,,,,,,,,reward_or_play_style,positive,family_unknown,heuristic,0.45,action_target,play,uncertain,template,crop,raw,Visual attribute only; not formal family label
evi_000074,file_852de52f8234cb0c,asset_ed869930624e94e5,D:\Projects\adb_vl\ads2\assets\1_templates\備份\google play\google play.png,ads2\assets\1_templates\備份\google play\google play.png,,,,,,,,google_play_style,negative,family_unknown,heuristic,0.45,non_action_target,,uncertain,template,fullscreen,raw,Visual attribute only; not formal family label
evi_000075,file_1cb4e2befa222329,asset_72c839c107ebef49,D:\Projects\adb_vl\ads2\assets\1_templates\備份\got1.png,ads2\assets\1_templates\備份\got1.png,,,,,,,,reward_or_play_style,positive,family_unknown,heuristic,0.45,action_target,got,uncertain,template,crop,raw,Visual attribute only; not formal family label
evi_000076,file_c9b0f3fff6864aab,asset_86d49425885a0694,D:\Projects\adb_vl\ads2\assets\1_templates\備份\got_2.png,ads2\assets\1_templates\備份\got_2.png,,,,,,,,reward_or_play_style,positive,family_unknown,heuristic,0.45,action_target,got,uncertain,template,crop,raw,Visual attribute only; not formal family label
evi_000077,file_cb080ed8eb8801eb,asset_bddb4860eddcb148,D:\Projects\adb_vl\ads2\assets\1_templates\備份\got_8.png,ads2\assets\1_templates\備份\got_8.png,,,,,,,,reward_or_play_style,positive,family_unknown,heuristic,0.45,action_target,play,uncertain,template,crop,raw,Visual attribute only; not formal family label
evi_000078,file_e016cd0cafb539a3,asset_0f6a8219657a3273,D:\Projects\adb_vl\ads2\assets\2_communication\crop_20260606_232156.png,ads2\assets\2_communication\crop_20260606_232156.png,,,,,,,,reward_or_play_style,positive,family_unknown,heuristic,0.45,action_target,got,uncertain,review_asset,crop,raw,Visual attribute only; not formal family label
evi_000079,file_598fa470895ec295,asset_86d49425885a0694,D:\Projects\adb_vl\ads2\assets\2_communication\crop_20260607_082726.png,ads2\assets\2_communication\crop_20260607_082726.png,,,,,,,,reward_or_play_style,positive,family_unknown,heuristic,0.45,action_target,got,uncertain,review_asset,crop,raw,Visual attribute only; not formal family label
evi_000080,file_c51906c0c23e9e86,asset_0cf037e096857467,D:\Projects\adb_vl\ads2\assets\2_communication\crop_20260607_082949.png,ads2\assets\2_communication\crop_20260607_082949.png,,,,,,,,reward_or_play_style,positive,family_unknown,heuristic,0.45,action_target,got,uncertain,review_asset,crop,raw,Visual attribute only; not formal family label
evi_000081,file_5e9c9ca7e5316c7e,asset_804eb0458e78934d,D:\Projects\adb_vl\ads2\assets\2_communication\crop_20260607_084044.png,ads2\assets\2_communication\crop_20260607_084044.png,,,,,,,,reward_or_play_style,positive,family_unknown,heuristic,0.45,action_target,got,uncertain,review_asset,crop,raw,Visual attribute only; not formal family label
evi_000082,file_2ab33ea053a9e17d,asset_a1abf4a4f6070cea,D:\Projects\adb_vl\ads2\assets\2_communication\crop_20260607_085221.png,ads2\assets\2_communication\crop_20260607_085221.png,,,,,,,,reward_or_play_style,positive,family_unknown,heuristic,0.45,action_target,got,uncertain,review_asset,crop,raw,Visual attribute only; not formal family label
evi_000083,file_a084d6ce8dde38ef,asset_d082cffe4e8f8f90,D:\Projects\adb_vl\ads2\assets\2_communication\crop_20260607_085540.png,ads2\assets\2_communication\crop_20260607_085540.png,,,,,,,,reward_or_play_style,positive,family_unknown,heuristic,0.45,action_target,got,uncertain,review_asset,crop,raw,Visual attribute only; not formal family label
